Rank,Name,Date_of_birth,height,Role,Awards,Famous_for,Birth_place
70,Esai Morales,1962-10-01,5′ 10″ (1.78 m),"['Actor', 'Director', 'Producer']",4.0,La Bamba,"Brooklyn, New York, USA"
71,Michelle Rodriguez,1978-07-12,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Producer']",13.0,Furious 7,"San Antonio, Texas, USA"
72,Amanda Peterson,1971-07-08,5′ 4″ (1.63 m),['Actress'],1.0,Can't Buy Me Love,"Greeley, Colorado, USA"
73,Sophia Lillis,2002-02-13,5′ (1.52 m),['Actress'],3.0,It,"Brooklyn, New York City, New York, USA"
74,Rachael Taylor,1984-07-11,5′ 7¾″ (1.72 m),"['Actress', 'Producer', 'Writer']",2.0,Transformers,"Launceston, Tasmania, Australia"
75,Lee Pace,1979-03-25,6′ 5″ (1.96 m),"['Actor', 'Soundtrack']",5.0,Guardians of the Galaxy,"Chickasha, Oklahoma, USA"
76,Miss Benny,1999-02-19,,"['Actress', 'Soundtrack']",,Glamorous,
77,Annie Murphy,1986-12-19,5′ 7″ (1.70 m),"['Actress', 'Soundtrack', 'Writer']",7.0,Schitt's Creek,"Ottawa, Ontario, Canada"
78,Christopher McQuarrie,1968-10-25,,"['Director', 'Producer', 'Writer']",10.0,The Usual Suspects,"Princeton, New Jersey, USA"
79,Emmanuelle Béart,1963-08-14,5′ 4¼″ (1.63 m),"['Actress', 'Soundtrack']",12.0,8 Women,"Gassin, Var, France"
80,Ayo Edebiri,1995-10-03,,"['Actress', 'Producer', 'Writer']",3.0,The Bear,"Boston, Massachusetts, USA"
81,Isabel May,2000-11-21,5′ 9″ (1.75 m),['Actress'],1.0,1883,"Santa Monica, California, USA"
82,Sofía Vergara,1972-07-10,5′ 7″ (1.70 m),"['Actress', 'Soundtrack', 'Producer']",11.0,Hot Pursuit,"Barranquilla, Colombia"
83,Hailee Steinfeld,1996-12-11,5′ 8½″ (1.74 m),"['Actress', 'Composer', 'Producer']",26.0,True Grit,"Tarzana, Los Angeles, California, USA"
84,Mira Sorvino,1967-09-28,5′ 9″ (1.75 m),"['Actress', 'Soundtrack', 'Producer']",18.0,Mighty Aphrodite,"New York City, New York, USA"
85,Matt Damon,1970-10-08,5′ 10″ (1.78 m),"['Actor', 'Producer', 'Writer']",37.0,Good Will Hunting,"Boston, Massachusetts, USA"
86,Robert Downey Jr.,1965-04-04,5′ 8″ (1.73 m),"['Actor', 'Producer', 'Writer']",43.0,Iron Man,"Manhattan, New York City, New York, USA"
87,Sarah Snook,1987-12-01,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Producer']",14.0,Predestination,"Adelaide, South Australia, Australia"
88,Anya Taylor-Joy,1996-04-16,5′ 8″ (1.73 m),"['Actress', 'Soundtrack']",18.0,The Queen's Gambit,"Miami, Florida, USA"
89,Rose Byrne,1979-07-24,5′ 6¼″ (1.68 m),"['Actress', 'Soundtrack', 'Producer']",15.0,Spy,"Balmain, Sydney, New South Wales, Australia"
90,Alexander Skarsgård,1976-08-25,6′ 4½″ (1.94 m),"['Actor', 'Director', 'Producer']",13.0,The Legend of Tarzan,"Stockholm, Stockholms län, Sweden"
91,Adam Driver,1983-11-19,6′ 2½″ (1.89 m),"['Actor', 'Soundtrack', 'Producer']",62.0,Star Wars: Episode VII - The Force Awakens,"San Diego, California, USA"
92,Kate Mara,1983-02-27,5′ 2″ (1.57 m),"['Actress', 'Soundtrack', 'Producer']",2.0,Fantastic Four,"Bedford, New York, USA"
93,Timothy Olyphant,1968-05-20,6′ (1.83 m),"['Actor', 'Soundtrack', 'Producer']",4.0,Justified,"Honolulu, Hawaii, USA"
94,Patrick J. Adams,1981-08-27,6′ (1.83 m),"['Actor', 'Director', 'Producer']",1.0,Suits,"Toronto, Ontario, Canada"
95,Lily-Rose Depp,1999-05-27,5′ 5″ (1.65 m),"['Actress', 'Soundtrack', 'Composer']",1.0,Tusk,"Neuilly-sur-Seine, Hauts-de-Seine, France"
96,Elizabeth Debicki,1990-08-24,6′ 2¾″ (1.90 m),"['Actress', 'Producer']",6.0,The Great Gatsby,"Paris, France"
97,John Krasinski,1979-10-20,6′ 3″ (1.91 m),"['Actor', 'Director', 'Producer']",18.0,Tom Clancy's Jack Ryan,"Newton, Massachusetts, USA"
98,Idris Elba,1972-09-06,6′ 2½″ (1.89 m),"['Actor', 'Producer', 'Writer']",30.0,Beasts of No Nation,"Hackney, London, England, UK"
99,Chloë Grace Moretz,1997-02-10,5′ 4″ (1.63 m),"['Actress', 'Soundtrack', 'Producer']",28.0,Kick-Ass,"Atlanta, Georgia, USA"
100,Juno Temple,1989-07-21,5′ 2″ (1.57 m),"['Actress', 'Soundtrack']",6.0,Atonement,"London, England, UK"
